nser,dim,orig_eps,orig_l1,vdbm_nb,vdbm_l1,eps,delta,num_bit,setup,computing,proving,verifying,comm,l1,l2
2,4096,0.001,6143999.487999839,232658555,35248815.27971337,0.0010299027034834651,3.832433913684342e-11,366,1.61638,1165.58,6806.39,26.8694,4806816,6058191,127283.74169940165
2,4096,0.01,614394.8799488035,2529927,3675691.0988607546,0.010229091805857848,6.3754518451138156e-12,285,1.61827,908.018,5282.78,20.3942,3858624,620055,12916.357497375178
2,4096,0.1,61388.74903619844,28452,389799.62020469405,0.10146565545447173,3.802164711137073e-13,230,1.61539,733.275,4254.96,15.8387,3218272,61018,1281.0565951588555
2,4096,1.0,5600.194314370788,331,42043.51412300034,1.0069026891786528,5.811828035869712e-15,159,1.6152,507.386,2913.92,10.1797,2388480,5626,123.2152587953294
2,16,0.001,23999.99799999937,232658555,137690.68468638035,0.0010299027034834651,3.832433913684342e-11,366,0.0185172,4.43408,27.4533,15.2678,4284576,16683,5113.113043929305
2,16,0.01,2399.9799998000135,2529927,14358.168354924823,0.010229091805857848,6.3754518451138156e-12,285,0.0106279,3.46175,21.3995,11.9076,3336384,2059,694.6704254536824
2,16,0.1,239.79980092265015,28452,1522.6547664245861,0.10146565545447173,3.802164711137073e-13,230,0.0182407,2.813,17.4445,9.67488,2696032,221,67.90434448545984
2,16,1.0,21.87575904051089,331,164.2324770429701,1.0069026891786528,5.811828035869712e-15,159,0.00737096,1.94176,11.8447,6.65507,1866240,32,10.770329614269007
2,64,0.001,95999.99199999748,232658555,550762.7387455214,0.0010299027034834651,3.832433913684342e-11,366,0.043348,17.9803,103.85,15.3377,4290720,106667,17158.27878896948
2,64,0.01,9599.919999200054,2529927,57432.67341969929,0.010229091805857848,6.3754518451138156e-12,285,0.0436001,14.0244,81.4068,11.967,3342528,10074,1891.3603569917607
